作品,話数,ツイート数,普段比,トレンド,号数,月曜ツイート数,基準ツイート数,期間
#今週のワンピ,1021,1653,58%,NO DATA,2021年36・37号,1653,0,2021年
#今週のワンピ,1022,2110,74%,NO DATA,2021年38号,2110,0,2021年
#今週のワンピ,1023,3024,105%,NO DATA,2021年39号,3024,0,2021年
#今週のワンピ,1024,1947,68%,NO DATA,2021年40号,1947,0,2021年
#今週のワンピ,1025,1672,58%,NO DATA,2021年41号,1672,0,2021年
#今週のワンピ,1026,1777,62%,NO DATA,2021年43号,1777,0,2021年
#今週のワンピ,1027,1562,54%,NO DATA,2021年44号,1562,0,2021年
#今週のワンピ,1028,2329,81%,NO DATA,2021年45号,2329,0,2021年
#今週のワンピ,1029,1755,61%,NO DATA,2021年47号,1755,0,2021年
#今週のワンピ,1030,2048,71%,NO DATA,2021年48号,2048,0,2021年
#今週のワンピ,1031,3198,111%,NO DATA,2021年49号,3198,0,2021年
#今週のワンピ,1032,1884,66%,NO DATA,2021年51号,1884,0,2021年
#今週のワンピ,1033,3067,107%,NO DATA,2021年52号,3067,0,2021年
#今週のワンピ,1034,1785,62%,,2022年01号,1785,0,2022年
#今週のワンピ,1035,2717,95%,,2022年03・04号,2717,0,2022年
#今週のワンピ,1036,1951,68%,,2022年05・06号,1951,0,2022年
#今週のワンピ,1037,3095,108%,ゴムゴムの実,2022年07号,3095,0,2022年
#今週のワンピ,1038,2121,74%,,2022年09号,2121,0,2022年
#今週のワンピ,1039,2331,81%,,2022年10号,2331,0,2022年
#今週のワンピ,1040,3291,115%,,2022年11号,3291,0,2022年
#今週のワンピ,1041,2636,92%,,2022年13号,2636,0,2022年
#今週のワンピ,1042,2568,89%,,2022年14号,2568,0,2022年
#今週のワンピ,1043,5453,190%,"ジョイボーイ,次号休載,ゴムゴムの実",2022年15号,5453,0,2022年
#今週のワンピ,1044,9507,331%,"#今週のワンピ,ワンピース,ゴムゴムの実,ヒトヒトの実,One Piece,尾田先生,シャンクス,悪魔の実,チョッパー",2022年17号,9507,0,2022年
#今週のワンピ,1045,3173,111%,,2022年18号,3173,0,2022年
#今週のワンピ,1046,2200,77%,,2022年19号,2200,0,2022年
#今週のワンピ,1047,2187,76%,,2022年21・22号,2187,0,2022年
#今週のワンピ,1048,2025,71%,,2022年23号,2025,0,2022年
#今週のワンピ,1049,4021,140%,カイドウ,2022年24号,4021,0,2022年
#今週のワンピ,1050,3104,108%,,2022年26号,3104,0,2022年
#今週のワンピ,1051,5643,197%,"#今週のワンピ,モモの助,ヤマト仲間",2022年27号,5643,0,2022年
#今週のワンピ,1052,6642,231%,,2022年28号,6642,0,2022年
#今週のワンピ,1053,8706,303%,"#今週のワンピ,プルトン,お鶴さん",2022年29号,8706,0,2022年
#今週のワンピ,1054,8110,283%,"#今週のワンピ,バルトロメオ,ワンピース,ジャンプの表紙,シャンクス,食戟のサンジ,青山先生",2022年34号,8110,0,2022年
#今週のワンピ,1055,6866,239%,#今週のワンピ,2022年35号,6866,0,2022年
#今週のワンピ,1056,6290,219%,"#今週のワンピ,火の傷の男",2022年36・37号,6290,0,2022年
#今週のワンピ,1057,8016,279%,"#今週のワンピ,ワノ国編,パンクハザード,錦えもん",2022年38号,8016,0,2022年
#今週のワンピ,1058,8298,289%,"#今週のワンピ,ミホーク,クロコダイル,海兵狩り,クロスギルド",2022年39号,8298,0,2022年
#今週のワンピ,1059,10826,377%,"#今週のワンピ,ハンコック,ロッキーポート事件,パシフィスタ,セラフィム,レイリー,ルナーリア族,シャッキー,ベガパンク",2022年41号,10826,0,2022年
ヒロアカ本誌,322,7406,910%,NO DATA,2021年36・37号,7406,0,2021年
ヒロアカ本誌,323,1301,160%,NO DATA,2021年38号,1301,0,2021年
ヒロアカ本誌,324,4451,547%,NO DATA,2021年39号,4451,0,2021年
ヒロアカ本誌,325,1410,173%,NO DATA,2021年40号,1410,0,2021年
ヒロアカ本誌,326,734,90%,NO DATA,2021年42号,734,0,2021年
ヒロアカ本誌,327,2067,254%,NO DATA,2021年43号,2067,0,2021年
ヒロアカ本誌,328,708,87%,NO DATA,2021年44号,708,0,2021年
ヒロアカ本誌,329,418,51%,NO DATA,2021年45号,418,0,2021年
ヒロアカ本誌,330,531,65%,NO DATA,2021年46号,531,0,2021年
ヒロアカ本誌,331,392,48%,NO DATA,2021年48号,392,0,2021年
ヒロアカ本誌,332,418,51%,NO DATA,2021年49号,418,0,2021年
ヒロアカ本誌,333,659,81%,NO DATA,2021年50号,659,0,2021年
ヒロアカ本誌,334,435,53%,NO DATA,2021年51号,435,0,2021年
ヒロアカ本誌,335,6985,858%,NO DATA,2021年52号,6985,0,2021年
ヒロアカ本誌,336,8727,1072%,"ヒロアカ本誌,青山くん",2022年01号,8727,0,2022年
ヒロアカ本誌,337,3127,384%,葉隠ちゃん,2022年02号,3127,0,2022年
ヒロアカ本誌,338,1330,163%,,2022年03・04号,1330,0,2022年
ヒロアカ本誌,339,407,50%,ねじれちゃん,2022年05・06号,407,0,2022年
ヒロアカ本誌,340,781,96%,,2022年07号,781,0,2022年
ヒロアカ本誌,341,537,66%,トガちゃん,2022年08号,537,0,2022年
ヒロアカ本誌,342,840,103%,,2022年10号,840,0,2022年
ヒロアカ本誌,343,2516,309%,,2022年11号,2516,0,2022年
ヒロアカ本誌,344,1166,143%,"心操くん,ヒロアカ本誌",2022年12号,1166,0,2022年
ヒロアカ本誌,345,814,100%,,2022年13号,814,0,2022年
ヒロアカ本誌,346,582,71%,,2022年14号,582,0,2022年
ヒロアカ本誌,347,688,85%,トガちゃん,2022年15号,688,0,2022年
ヒロアカ本誌,348,674,83%,"クレープ半分こ,クソナード",2022年16号,674,0,2022年
ヒロアカ本誌,349,458,56%,,2022年17号,458,0,2022年
ヒロアカ本誌,350,632,78%,,2022年19号,632,0,2022年
ヒロアカ本誌,351,532,65%,,2022年21・22号,532,0,2022年
ヒロアカ本誌,352,1053,129%,,2022年24号,1053,0,2022年
ヒロアカ本誌,353,872,107%,,2022年25号,872,0,2022年
ヒロアカ本誌,354,987,121%,"郎ちゃん,常闇くん",2022年26号,987,0,2022年
ヒロアカ本誌,355,781,96%,"じろちゃん,郎ちゃん",2022年27号,781,0,2022年
ヒロアカ本誌,356,542,67%,エンデヴァー,2022年29号,542,0,2022年
ヒロアカ本誌,357,618,76%,,2022年30号,618,0,2022年
ヒロアカ本誌,358,758,93%,ヒロアカ,2022年31号,758,0,2022年
ヒロアカ本誌,359,1711,210%,"巻頭カラー,ビッグ3,かっちゃん,相澤先生",2022年33号,1711,0,2022年
ヒロアカ本誌,360,1352,166%,"かっちゃん,爆豪勝己,ヒロアカ",2022年34号,1352,0,2022年
ヒロアカ本誌,361,723,89%,"ねじれちゃん,ビッグ3,サンイーター",2022年35号,723,0,2022年
ヒロアカ本誌,362,9164,1126%,"かっちゃん,ヒロアカ本誌,堀越先生,ヒロアカ,hrak,爆豪勝己,最高のヒーロー,最大の見せ場,hrks先生,No.1ヒーロー,エリちゃん,カッチャン",2022年36・37号,9164,0,2022年
ヒロアカ本誌,363,2688,330%,,2022年38号,2688,0,2022年
ヒロアカ本誌,364,2744,337%,エッジショット,2022年39号,2744,0,2022年
ヒロアカ本誌,365,871,107%,,2022年40号,871,0,2022年
ブラクロ,304,188,49%,NO DATA,2021年39号,339,151,2021年
ブラクロ,305,577,152%,NO DATA,2021年41号,728,151,2021年
ブラクロ,306,300,79%,NO DATA,2021年42号,451,151,2021年
ブラクロ,307,646,170%,NO DATA,2021年43号,797,151,2021年
ブラクロ,308,393,103%,NO DATA,2021年45号,544,151,2021年
ブラクロ,309,315,83%,NO DATA,2021年46号,466,151,2021年
ブラクロ,310,183,48%,NO DATA,2021年47号,334,151,2021年
ブラクロ,311,185,49%,NO DATA,2021年48号,336,151,2021年
ブラクロ,312,441,116%,NO DATA,2021年49号,592,151,2021年
ブラクロ,313,593,156%,NO DATA,2021年50号,744,151,2021年
ブラクロ,314,347,91%,NO DATA,2021年51号,498,151,2021年
ブラクロ,315,491,129%,NO DATA,2021年52号,642,151,2021年
ブラクロ,316,380,100%,,2022年02号,539,159,2022年
ブラクロ,317,542,143%,,2022年03・04号,701,159,2022年
ブラクロ,318,637,168%,,2022年05・06号,796,159,2022年
ブラクロ,319,243,64%,,2022年07号,402,159,2022年
ブラクロ,320,248,65%,,2022年08号,407,159,2022年
ブラクロ,321,334,88%,,2022年09号,550,216,2022年
ブラクロ,322,404,106%,,2022年10号,613,209,2022年
ブラクロ,323,369,97%,,2022年11号,556,187,2022年
ブラクロ,324,305,80%,,2022年12号,470,165,2022年
ブラクロ,325,408,107%,,2022年14号,560,152,2022年
ブラクロ,326,3136,825%,,2022年15号,3302,166,2022年
ブラクロ,327,269,71%,,2022年16号,845,576,2022年
ブラクロ,328,623,164%,,2022年18号,1078,455,2022年
ブラクロ,329,114,30%,,2022年19号,588,474,2022年
ブラクロ,330,369,97%,,2022年20号,738,369,2022年
ブラクロ,331,3171,834%,ブラクロ,2022年21・22号,4086,915,2022年
ブラクロ,332,1729,455%,,2022年35号,1884,155,2022年
ブラクロ,333,359,94%,,2022年36・37号,579,220,2022年
ブラクロ,334,583,153%,,2022年38号,735,152,2022年
ブラクロ,335,379,100%,,2022年39号,548,169,2022年
ブラクロ,336,446,117%,,2022年40号,605,159,2022年
ブラクロ,337,893,235%,,2022年41号,1097,204,2022年
ドクスト,206,892,109%,NO DATA,2021年36・37号,994,102,2021年
ドクスト,207,791,97%,NO DATA,2021年38号,893,102,2021年
ドクスト,208,631,77%,NO DATA,2021年39号,733,102,2021年
ドクスト,209,1307,160%,NO DATA,2021年40号,1409,102,2021年
ドクスト,210,843,103%,NO DATA,2021年41号,945,102,2021年
ドクスト,211,621,76%,NO DATA,2021年42号,723,102,2021年
ドクスト,212,1396,171%,NO DATA,2021年43号,1498,102,2021年
ドクスト,213,875,107%,NO DATA,2021年45号,977,102,2021年
ドクスト,214,424,52%,NO DATA,2021年46号,526,102,2021年
ドクスト,215,602,74%,NO DATA,2021年47号,704,102,2021年
ドクスト,216,389,48%,NO DATA,2021年48号,491,102,2021年
ドクスト,217,570,70%,NO DATA,2021年49号,672,102,2021年
ドクスト,218,510,62%,NO DATA,2021年50号,612,102,2021年
ドクスト,219,361,44%,NO DATA,2021年51号,463,102,2021年
ドクスト,220,645,79%,NO DATA,2021年52号,747,102,2021年
ドクスト,221,1101,135%,,2022年01号,1241,140,2022年
ドクスト,222,435,53%,,2022年02号,575,140,2022年
ドクスト,223,889,109%,,2022年03・04号,1029,140,2022年
ドクスト,224,865,106%,,2022年05・06号,1005,140,2022年
ドクスト,225,516,63%,,2022年07号,656,140,2022年
ドクスト,226,391,48%,,2022年08号,531,140,2022年
ドクスト,227,2323,284%,"ホワイマン,ホワイマンの正体,Dr.STONE,ドクスト",2022年09号,2473,150,2022年
ドクスト,228,1594,195%,"Dr.STONE,ドクスト",2022年10号,1774,180,2022年
ドクスト,229,1271,156%,,2022年11号,1443,172,2022年
ドクスト,230,629,77%,,2022年12号,810,181,2022年
ドクスト,231,2001,245%,ドクスト,2022年13号,2151,150,2022年
ドクスト,232,11913,1458%,"Dr.STONE,ドクスト,ドクスト完結,ドクターストーン,dcst,連載完結",2022年14号,12174,261,2022年
ドクスト,,2908,356%,"Dr.STONE,ドクスト",2022年31号,3106,198,2022年
呪術本誌,154,1701,103%,NO DATA,2021年36・37号,1701,0,2021年
呪術本誌,155,1370,83%,NO DATA,2021年38号,1370,0,2021年
呪術本誌,156,1719,104%,NO DATA,2021年39号,1719,0,2021年
呪術本誌,157,1492,90%,NO DATA,2021年40号,1492,0,2021年
呪術本誌,158,2256,136%,NO DATA,2021年41号,2256,0,2021年
呪術本誌,159,1129,68%,NO DATA,2021年42号,1129,0,2021年
呪術本誌,160,2427,146%,NO DATA,2021年43号,2427,0,2021年
呪術本誌,161,1369,83%,NO DATA,2021年44号,1369,0,2021年
呪術本誌,162,939,57%,NO DATA,2021年46号,939,0,2021年
呪術本誌,163,1290,78%,NO DATA,2021年47号,1290,0,2021年
呪術本誌,164,1436,87%,NO DATA,2021年48号,1436,0,2021年
呪術本誌,165,1903,115%,NO DATA,2021年50号,1903,0,2021年
呪術本誌,166,1663,100%,NO DATA,2021年51号,1663,0,2021年
呪術本誌,167,1169,70%,,2022年01号,1169,0,2022年
呪術本誌,168,2186,132%,,2022年02号,2186,0,2022年
呪術本誌,169,929,56%,,2022年03・04号,929,0,2022年
呪術本誌,170,1049,63%,,2022年05・06号,1049,0,2022年
呪術本誌,171,1091,66%,,2022年07号,1091,0,2022年
呪術本誌,172,938,57%,,2022年08号,938,0,2022年
呪術本誌,173,3486,210%,乙骨先輩,2022年09号,3486,0,2022年
呪術本誌,174,3726,225%,乙骨先輩,2022年10号,3726,0,2022年
呪術本誌,175,2394,144%,"乙骨先輩,マウストゥマウス,反転術式,乙骨パイセン",2022年12号,2394,0,2022年
呪術本誌,176,1446,87%,,2022年13号,1446,0,2022年
呪術本誌,177,1495,90%,"乙骨先輩,乙骨くん,リカちゃん",2022年14号,1495,0,2022年
呪術本誌,178,2841,171%,"領域展開,乙骨先輩",2022年16号,2841,0,2022年
呪術本誌,179,1321,80%,,2022年17号,1321,0,2022年
呪術本誌,180,1654,100%,,2022年18号,1654,0,2022年
呪術本誌,181,1887,114%,三輪ちゃん,2022年20号,1887,0,2022年
呪術本誌,182,1152,69%,領域展開,2022年21・22号,1152,0,2022年
呪術本誌,183,2430,147%,,2022年23号,2430,0,2022年
呪術本誌,184,1744,105%,パンダ先輩,2022年24号,1744,0,2022年
呪術本誌,185,2545,153%,,2022年25号,2545,0,2022年
呪術本誌,186,1908,115%,"金ちゃん,領域展開",2022年26号,1908,0,2022年
呪術本誌,187,1545,93%,,2022年28号,1545,0,2022年
呪術本誌,188,1272,77%,金ちゃん,2022年29号,1272,0,2022年
呪術本誌,189,1312,79%,,2022年30号,1312,0,2022年
呪術本誌,190,2803,169%,真希さん,2022年32号,2803,0,2022年
呪術本誌,191,3923,237%,"呪術本誌,直哉くん,真希さん,禪院直哉,ドブカス",2022年33号,3923,0,2022年
呪術本誌,192,1560,94%,直哉くん,2022年35号,1560,0,2022年
呪術本誌,193,1385,84%,"マッハ3,直哉くん,真希さん",2022年36・37号,1385,0,2022年
呪術本誌,194,2555,154%,,2022年38号,2555,0,2022年
呪術本誌,195,2341,141%,DX日輪刀,2022年39号,2341,0,2022年
呪術本誌,196,1878,113%,真希さん,2022年40号,1878,0,2022年
呪術本誌,197,1751,106%,"直哉くん,領域展開",2022年41号,1751,0,2022年
夜桜さんちの大作戦,93,143,170%,NO DATA,2021年36・37号,159,16,2021年
夜桜さんちの大作戦,94,166,198%,NO DATA,2021年38号,182,16,2021年
夜桜さんちの大作戦,95,112,133%,NO DATA,2021年39号,128,16,2021年
夜桜さんちの大作戦,96,99,118%,NO DATA,2021年40号,115,16,2021年
夜桜さんちの大作戦,97,117,139%,NO DATA,2021年41号,133,16,2021年
夜桜さんちの大作戦,98,109,130%,NO DATA,2021年42号,125,16,2021年
夜桜さんちの大作戦,99,244,290%,NO DATA,2021年43号,260,16,2021年
夜桜さんちの大作戦,100,862,1026%,NO DATA,2021年44号,878,16,2021年
夜桜さんちの大作戦,101,143,170%,NO DATA,2021年45号,159,16,2021年
夜桜さんちの大作戦,102,247,294%,NO DATA,2021年46号,263,16,2021年
夜桜さんちの大作戦,103,291,346%,NO DATA,2021年47号,307,16,2021年
夜桜さんちの大作戦,104,107,127%,NO DATA,2021年48号,123,16,2021年
夜桜さんちの大作戦,105,92,110%,NO DATA,2021年49号,108,16,2021年
夜桜さんちの大作戦,106,99,118%,NO DATA,2021年50号,115,16,2021年
夜桜さんちの大作戦,107,57,68%,NO DATA,2021年51号,73,16,2021年
夜桜さんちの大作戦,108,109,130%,NO DATA,2021年52号,125,16,2021年
夜桜さんちの大作戦,109,103,123%,,2022年01号,116,13,2022年
夜桜さんちの大作戦,110,158,188%,,2022年02号,171,13,2022年
夜桜さんちの大作戦,111,53,63%,,2022年03・04号,66,13,2022年
夜桜さんちの大作戦,112,223,265%,,2022年05・06号,236,13,2022年
夜桜さんちの大作戦,113,67,80%,,2022年07号,96,29,2022年
夜桜さんちの大作戦,114,72,86%,,2022年08号,101,29,2022年
夜桜さんちの大作戦,115,82,98%,,2022年09号,95,13,2022年
夜桜さんちの大作戦,116,103,123%,,2022年10号,115,12,2022年
夜桜さんちの大作戦,117,65,77%,,2022年11号,84,19,2022年
夜桜さんちの大作戦,118,86,102%,,2022年12号,105,19,2022年
夜桜さんちの大作戦,119,39,46%,,2022年13号,62,23,2022年
夜桜さんちの大作戦,120,137,163%,,2022年14号,167,30,2022年
夜桜さんちの大作戦,121,52,62%,,2022年15号,80,28,2022年
夜桜さんちの大作戦,122,46,55%,,2022年16号,71,25,2022年
夜桜さんちの大作戦,123,53,63%,,2022年17号,65,12,2022年
夜桜さんちの大作戦,124,88,105%,,2022年18号,107,19,2022年
夜桜さんちの大作戦,125,218,260%,,2022年19号,230,12,2022年
夜桜さんちの大作戦,126,39,46%,,2022年20号,57,18,2022年
夜桜さんちの大作戦,127,47,56%,,2022年21・22号,169,122,2022年
夜桜さんちの大作戦,128,117,139%,,2022年23号,153,36,2022年
夜桜さんちの大作戦,129,88,105%,,2022年24号,118,30,2022年
夜桜さんちの大作戦,130,69,82%,,2022年25号,91,22,2022年
夜桜さんちの大作戦,131,73,87%,,2022年26号,90,17,2022年
夜桜さんちの大作戦,132,139,165%,,2022年27号,180,41,2022年
夜桜さんちの大作戦,133,54,64%,,2022年28号,74,20,2022年
夜桜さんちの大作戦,134,41,49%,,2022年29号,50,9,2022年
夜桜さんちの大作戦,135,81,96%,,2022年30号,94,13,2022年
夜桜さんちの大作戦,136,71,85%,,2022年31号,82,11,2022年
夜桜さんちの大作戦,137,72,86%,,2022年32号,83,11,2022年
夜桜さんちの大作戦,138,44,52%,,2022年33号,59,15,2022年
夜桜さんちの大作戦,139,40,48%,,2022年34号,51,11,2022年
夜桜さんちの大作戦,140,50,60%,,2022年35号,61,11,2022年
夜桜さんちの大作戦,141,48,57%,,2022年36・37号,59,11,2022年
夜桜さんちの大作戦,142,54,64%,,2022年38号,59,5,2022年
夜桜さんちの大作戦,143,64,76%,,2022年39号,78,14,2022年
夜桜さんちの大作戦,144,122,145%,,2022年40号,138,16,2022年
夜桜さんちの大作戦,145,65,77%,,2022年41号,81,16,2022年
アンデラ,74,1007,105%,NO DATA,2021年36・37号,1046,39,2021年
アンデラ,75,687,71%,NO DATA,2021年38号,726,39,2021年
アンデラ,76,993,103%,NO DATA,2021年39号,1032,39,2021年
アンデラ,77,1494,155%,NO DATA,2021年40号,1533,39,2021年
アンデラ,78,1622,168%,NO DATA,2021年41号,1661,39,2021年
アンデラ,79,1877,195%,NO DATA,2021年42号,1916,39,2021年
アンデラ,80,1163,121%,NO DATA,2021年43号,1202,39,2021年
アンデラ,81,2093,217%,NO DATA,2021年44号,2132,39,2021年
アンデラ,82,956,99%,NO DATA,2021年45号,995,39,2021年
アンデラ,83,962,100%,NO DATA,2021年46号,1001,39,2021年
アンデラ,84,1011,105%,NO DATA,2021年47号,1050,39,2021年
アンデラ,85,928,96%,NO DATA,2021年48号,967,39,2021年
アンデラ,86,1064,110%,NO DATA,2021年49号,1103,39,2021年
アンデラ,87,911,95%,NO DATA,2021年50号,950,39,2021年
アンデラ,88,838,87%,NO DATA,2021年51号,877,39,2021年
アンデラ,89,838,87%,NO DATA,2021年52号,877,39,2021年
アンデラ,90,1236,128%,,2022年01号,1324,88,2022年
アンデラ,91,932,97%,,2022年02号,1020,88,2022年
アンデラ,92,579,60%,,2022年03・04号,667,88,2022年
アンデラ,93,1178,122%,,2022年05・06号,1266,88,2022年
アンデラ,94,3808,395%,アンデラ,2022年07号,3896,88,2022年
アンデラ,95,2025,210%,アンデラ,2022年08号,2113,88,2022年
アンデラ,96,559,58%,,2022年09号,687,128,2022年
アンデラ,97,805,84%,,2022年10号,900,95,2022年
アンデラ,98,1202,125%,,2022年11号,1285,83,2022年
アンデラ,99,620,64%,,2022年12号,677,57,2022年
アンデラ,100,535,56%,,2022年13号,585,50,2022年
アンデラ,101,791,82%,,2022年14号,857,66,2022年
アンデラ,102,599,62%,,2022年15号,645,46,2022年
アンデラ,103,309,32%,,2022年16号,354,45,2022年
アンデラ,104,332,34%,,2022年17号,356,24,2022年
アンデラ,105,403,42%,,2022年18号,432,29,2022年
アンデラ,106,727,75%,,2022年19号,765,38,2022年
アンデラ,107,967,100%,,2022年20号,1005,38,2022年
アンデラ,108,1122,116%,,2022年21・22号,1170,48,2022年
アンデラ,109,1092,113%,,2022年23号,1169,77,2022年
アンデラ,110,1505,156%,アンデラ,2022年24号,1554,49,2022年
アンデラ,111,965,100%,,2022年25号,1022,57,2022年
アンデラ,112,744,77%,,2022年26号,787,43,2022年
アンデラ,113,1168,121%,アンデラ,2022年27号,1213,45,2022年
アンデラ,114,1196,124%,アンデラ,2022年28号,1238,42,2022年
アンデラ,115,574,60%,,2022年29号,622,48,2022年
アンデラ,116,606,63%,,2022年30号,654,48,2022年
アンデラ,117,1105,115%,,2022年31号,1152,47,2022年
アンデラ,118,815,85%,,2022年32号,867,52,2022年
アンデラ,119,1125,117%,"ビリー様,アンデラ",2022年33号,1165,40,2022年
アンデラ,120,1363,141%,アンデラ,2022年34号,1419,56,2022年
アンデラ,121,957,99%,,2022年35号,1038,81,2022年
アンデラ,122,997,103%,,2022年36・37号,1038,41,2022年
アンデラ,123,2159,224%,アンデラ,2022年38号,2218,59,2022年
アンデラ,124,9524,988%,"アンデラアニメ化,アンデッドアンラック",2022年39号,9633,109,2022年
アンデラ,125,580,60%,,2022年40号,799,219,2022年
アンデラ,126,605,63%,,2022年41号,680,75,2022年
マッシュル,73,630,168%,NO DATA,2021年36・37号,704,74,2021年
マッシュル,74,785,210%,NO DATA,2021年38号,859,74,2021年
マッシュル,75,345,92%,NO DATA,2021年39号,419,74,2021年
マッシュル,76,425,113%,NO DATA,2021年40号,499,74,2021年
マッシュル,77,363,97%,NO DATA,2021年41号,437,74,2021年
マッシュル,78,259,69%,NO DATA,2021年42号,333,74,2021年
マッシュル,79,553,148%,NO DATA,2021年43号,627,74,2021年
マッシュル,80,1009,269%,NO DATA,2021年44号,1083,74,2021年
マッシュル,81,391,104%,NO DATA,2021年45号,465,74,2021年
マッシュル,82,404,108%,NO DATA,2021年46号,478,74,2021年
マッシュル,83,440,117%,NO DATA,2021年47号,514,74,2021年
マッシュル,84,286,76%,NO DATA,2021年49号,360,74,2021年
マッシュル,85,749,200%,NO DATA,2021年50号,823,74,2021年
マッシュル,86,411,110%,NO DATA,2021年51号,485,74,2021年
マッシュル,87,538,144%,NO DATA,2021年52号,612,74,2021年
マッシュル,88,524,140%,,2022年01号,586,62,2022年
マッシュル,89,257,69%,,2022年02号,319,62,2022年
マッシュル,90,486,130%,,2022年03・04号,548,62,2022年
マッシュル,91,288,77%,,2022年05・06号,350,62,2022年
マッシュル,92,423,113%,,2022年07号,485,62,2022年
マッシュル,93,732,195%,,2022年08号,794,62,2022年
マッシュル,94,143,38%,,2022年09号,263,120,2022年
マッシュル,95,267,71%,,2022年10号,336,69,2022年
マッシュル,96,613,164%,,2022年11号,686,73,2022年
マッシュル,97,404,108%,,2022年12号,460,56,2022年
マッシュル,98,217,58%,,2022年13号,284,67,2022年
マッシュル,99,386,103%,,2022年14号,472,86,2022年
マッシュル,100,204,54%,,2022年15号,298,94,2022年
マッシュル,101,415,111%,,2022年16号,510,95,2022年
マッシュル,102,184,49%,,2022年18号,239,55,2022年
マッシュル,103,552,147%,,2022年19号,609,57,2022年
マッシュル,104,1234,330%,,2022年20号,1302,68,2022年
マッシュル,105,84,22%,,2022年21・22号,510,426,2022年
マッシュル,106,102,27%,,2022年23号,266,164,2022年
マッシュル,107,86,23%,,2022年24号,196,110,2022年
マッシュル,108,169,45%,,2022年25号,238,69,2022年
マッシュル,109,492,131%,,2022年26号,561,69,2022年
マッシュル,110,249,66%,,2022年27号,318,69,2022年
マッシュル,111,337,90%,,2022年28号,385,48,2022年
マッシュル,112,289,77%,,2022年29号,328,39,2022年
マッシュル,113,1033,276%,,2022年30号,1084,51,2022年
マッシュル,114,12237,3268%,マッシュルアニメ化,2022年31号,12307,70,2022年
マッシュル,115,93,25%,,2022年32号,306,213,2022年
マッシュル,116,272,73%,,2022年33号,363,91,2022年
マッシュル,117,215,57%,,2022年34号,296,81,2022年
マッシュル,118,280,75%,,2022年35号,356,76,2022年
マッシュル,119,455,121%,,2022年36・37号,548,93,2022年
マッシュル,120,229,61%,,2022年38号,280,51,2022年
マッシュル,121,525,140%,,2022年39号,583,58,2022年
マッシュル,122,311,83%,,2022年40号,384,73,2022年
マッシュル,123,346,92%,,2022年41号,416,70,2022年
あやトラ,55,127,70%,NO DATA,2021年36・37号,137,10,2021年
あやトラ,56,96,53%,NO DATA,2021年38号,106,10,2021年
あやトラ,57,99,54%,NO DATA,2021年39号,109,10,2021年
あやトラ,58,105,58%,NO DATA,2021年40号,115,10,2021年
あやトラ,59,82,45%,NO DATA,2021年41号,92,10,2021年
あやトラ,60,181,99%,NO DATA,2021年42号,191,10,2021年
あやトラ,61,59,32%,NO DATA,2021年43号,69,10,2021年
あやトラ,62,121,66%,NO DATA,2021年44号,131,10,2021年
あやトラ,63,88,48%,NO DATA,2021年45号,98,10,2021年
あやトラ,64,157,86%,NO DATA,2021年46号,167,10,2021年
あやトラ,65,165,90%,NO DATA,2021年47号,175,10,2021年
あやトラ,66,56,31%,NO DATA,2021年48号,66,10,2021年
あやトラ,67,171,94%,NO DATA,2021年49号,181,10,2021年
あやトラ,68,485,266%,NO DATA,2021年50号,495,10,2021年
あやトラ,69,514,282%,NO DATA,2021年51号,524,10,2021年
あやトラ,70,232,127%,NO DATA,2021年52号,242,10,2021年
あやトラ,71,216,118%,,2022年01号,224,8,2022年
あやトラ,72,478,262%,,2022年02号,486,8,2022年
あやトラ,73,314,172%,,2022年03・04号,322,8,2022年
あやトラ,74,473,259%,,2022年05・06号,481,8,2022年
あやトラ,75,184,101%,,2022年07号,192,8,2022年
あやトラ,76,222,122%,,2022年08号,230,8,2022年
あやトラ,77,163,89%,,2022年09号,174,11,2022年
あやトラ,78,223,122%,,2022年10号,230,7,2022年
あやトラ,79,580,318%,,2022年11号,589,9,2022年
あやトラ,80,267,146%,,2022年12号,277,10,2022年
あやトラ,81,316,173%,,2022年13号,322,6,2022年
あやトラ,82,100,55%,,2022年14号,127,27,2022年
あやトラ,83,219,120%,,2022年15号,231,12,2022年
あやトラ,84,220,121%,,2022年16号,229,9,2022年
あやトラ,85,98,54%,,2022年17号,106,8,2022年
あやトラ,86,215,118%,,2022年18号,222,7,2022年
あやトラ,87,110,60%,,2022年19号,116,6,2022年
あやトラ,88,3007,1648%,あやトラ,2022年20号,3020,13,2022年
マグちゃん,54,534,94%,NO DATA,2021年36・37号,626,92,2021年
マグちゃん,55,570,101%,NO DATA,2021年38号,662,92,2021年
マグちゃん,56,543,96%,NO DATA,2021年39号,635,92,2021年
マグちゃん,57,733,130%,NO DATA,2021年40号,825,92,2021年
マグちゃん,58,511,90%,NO DATA,2021年41号,603,92,2021年
マグちゃん,59,491,87%,NO DATA,2021年42号,583,92,2021年
マグちゃん,60,566,100%,NO DATA,2021年43号,658,92,2021年
マグちゃん,61,917,162%,NO DATA,2021年44号,1009,92,2021年
マグちゃん,62,358,63%,NO DATA,2021年45号,450,92,2021年
マグちゃん,63,378,67%,NO DATA,2021年46号,470,92,2021年
マグちゃん,64,283,50%,NO DATA,2021年47号,375,92,2021年
マグちゃん,65,393,69%,NO DATA,2021年48号,485,92,2021年
