号数,作品名,クエリ,参照,1時間,全体,終了,トレンド含む
4,アオのハコ,(#アオのハコ #今週の雛 #今週の千夏 アオのハコ アオハコ),12.25,81,94,2025-12-22 01:15:00,False
4,ウィッチウォッチ,(#ウィッチウォッチ ウィッチウォッチ),4.5,60,60,2025-12-22 01:00:00,False
4,カグラバチ,(#カグラバチ カグラバチ #カグラバチ本誌),17.5,548,747,2025-12-22 02:00:00,False
4,キヨシくん,(#悪祓士のキヨシくん 悪祓士のキヨシくん 悪祓士 キヨシくん エクソシストのキヨシくん),0.5,37,53,2025-12-22 02:00:00,False
4,ゴンロン・エッグ,(ゴンロン・エッグ #ゴンロンエッグ ゴンロンエッグ ゴンロン),0.0,26,51,2025-12-22 02:30:00,False
4,サカモトデイズ,(#サカモトデイズ #サカデイ サカモトデイズ サカデイ サカモト),25.5,108,108,2025-12-22 01:00:00,False
4,ハルカゼマウンド,(ハルカゼマウンド #ハルカゼマウンド ハルカゼ),0.25,23,45,2025-12-22 02:15:00,False
4,モジュロ,(モジュロ #モジュロ 呪術廻戦 #呪術廻戦 呪術 呪術本誌 #呪術本誌),107.75,818,949,2025-12-22 01:15:00,False
4,僕とロボコ,(#僕とロボコ 僕とロボコ ロボコ),0.25,21,21,2025-12-22 01:00:00,False
4,灯火のオテル,(灯火のオテル #灯火のオテル オテル),0.0,44,95,2025-12-22 03:45:00,False
4,逃げ若,(#逃げ若 #逃げ上手の若君 逃げ若 逃げ上手の若君),14.25,88,103,2025-12-22 01:15:00,False
4,隣の小副川,(隣の小副川 #隣の小副川 小副川),0.25,18,40,2025-12-22 02:45:00,False
4,魔男のイチ,(#魔男のイチ 魔男のイチ 魔男),3.25,113,150,2025-12-22 01:45:00,False
4,鵺の陰陽師,(#鵺の陰陽師 鵺の陰陽師 鵺),8.25,386,558,2025-12-22 02:00:00,False
